ID,price,date,postcode,prop_type,new_bldg,duration,address_1,address_2,street,locality,city,district,county,cat_type,status
"{DF2A5520-3FFF-4970-BE62-B2E652EAF0DB}","139950","1995-09-15 00:00","HA5 2TP","D","N","F","1","","BURLINGTON CLOSE","PINNER","PINNER","HILLINGDON","GREATER LONDON","A","A"
"{66FEF64F-25F3-4921-9D5E-B69E40568F0B}","54000","1995-11-22 00:00","CR0 4LP","T","N","F","7","","BOROUGH HILL","CROYDON","CROYDON","CROYDON","GREATER LONDON","A","A"
"{7CE5A28F-36B0-4FCC-B69B-AF5A2E0D16AF}","235000","1995-12-20 00:00","SW5 0NA","F","N","L","49","FLAT C","COURTFIELD GARDENS","LONDON","LONDON","KENSINGTON AND CHELSEA","GREATER LONDON","A","A"
"{8B04B267-2142-4ECE-B20F-B2E72D85FBB6}","59950","1995-04-12 00:00","SE27 9PJ","T","N","F","16","","HUBBARD ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON","A","A"
"{E3DA03B2-CFD0-450A-95EB-B2E72F4F5B8D}","150000","1995-01-12 00:00","N10 2HA","T","N","F","3","","GOODWYNS VALE","LONDON","LONDON","BARNET","GREATER LONDON","A","A"
"{29D7DA53-F0E8-4637-9294-D72A37D117CF}","120000","1995-05-12 00:00","W5 2EE","F","Y","L","35","FLAT 2","HAMILTON ROAD","LONDON","LONDON","EALING","GREATER LONDON","A","A"
"{DCB3BA45-BF66-4E9C-95C0-CCA589287030}","74950","1995-12-01 00:00","SE1 4NU","F","Y","L","CHARLOTTE COURT, 68B","FLAT 20","OLD KENT ROAD","LONDON","LONDON","SOUTHWARK","GREATER LONDON","A","A"
"{0C34FE03-CDBA-4E7A-82D5-D3B913E2006E}","135000","1995-12-21 00:00","SW12 0HA","T","N","F","38","","HAVERHILL ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON","A","A"
"{349E2E75-3FD5-4508-94A4-D3B916456D05}","115000","1995-08-04 00:00","NW6 3PJ","F","N","L","122B","","GREENCROFT GARDENS","LONDON","LONDON","CAMDEN","GREATER LONDON","A","A"
"{08A7D8E5-3B26-4B68-BEE2-CCA6B9839456}","87500","1995-11-10 00:00","SE15 2PH","S","N","F","19","","CONSORT ROAD","LONDON","LONDON","SOUTHWARK","GREATER LONDON","A","A"
"{82946CE1-7B37-482D-8ADA-D72BBFDC386D}","57700","1995-04-06 00:00","N11 1RA","F","Y","L","ARNOS GROVE COURT","FLAT 15","PALMERS ROAD","LONDON","LONDON","ENFIELD","GREATER LONDON","A","A"
"{1435D448-0228-4432-B7E9-C9258464929C}","120000","1995-06-23 00:00","TW10 6QE","F","N","L","32","FIRST FLOOR FLAT","ONSLOW ROAD","RICHMOND","RICHMOND","RICHMOND UPON THAMES","GREATER LONDON","A","A"
"{746C492A-ED59-4C71-8905-91F7C9DCD8D9}","110000","1995-01-31 00:00","N21 3DU","T","N","F","31","","HALSTEAD GARDENS","LONDON","LONDON","ENFIELD","GREATER LONDON","A","A"
"{4A14E8C9-E1DB-4D9C-92DD-8AC69F081CD0}","64000","1995-07-31 00:00","N15 6JT","T","N","F","76","","LEALAND ROAD","LONDON","LONDON","HARINGEY","GREATER LONDON","A","A"
"{A11069A1-82FA-4B2A-9094-873B1AA487D2}","693000","1995-06-29 00:00","NW1 5HN","F","Y","L","HARLEY HOUSE","FLAT 72","MARYLEBONE ROAD","LONDON","LONDON","CITY OF WESTMINSTER","GREATER LONDON","A","A"
"{3C7C32BA-BF2C-4F76-8AF1-91F7F98745D9}","92995","1995-04-26 00:00","KT6 5NX","S","Y","F","13","","HASTINGS DRIVE","SURBITON","SURBITON","KINGSTON UPON THAMES","GREATER LONDON","A","A"
"{392CF07D-91BC-4F8D-B01A-873B285365B8}","64000","1995-03-06 00:00","CR0 4DB","S","N","F","7","","PRICE ROAD","CROYDON","CROYDON","CROYDON","GREATER LONDON","A","A"
"{EAB8F91D-5B82-415A-80C0-83B8F7616BF4}","138000","1995-02-24 00:00","W5 4UP","T","N","F","42","","BLONDIN AVENUE","LONDON","LONDON","EALING","GREATER LONDON","A","A"
"{C550BA0D-550A-431E-B135-83B8FD6B6196}","130000","1995-07-31 00:00","SW18 1HP","T","N","F","41","","SUDLOW ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON","A","A"
"{BA8F9363-028F-4D95-B8DA-83B9126EEA19}","67995","1995-04-21 00:00","DA7 4BW","T","N","F","19","","ROWAN ROAD","BEXLEYHEATH","BEXLEYHEATH","BEXLEY","GREATER LONDON","A","A"
"{FBE36315-7165-4677-8847-91F83871FE7B}","425000","1995-07-27 00:00","N6 4RA","S","N","F","60","","TALBOT ROAD","HIGHGATE","LONDON","HARINGEY","GREATER LONDON","A","A"
"{FB86B9B0-02FE-4C62-91A6-91F85EA91521}","57786","1995-12-21 00:00","SE16 3EZ","F","Y","L","12","FLAT 112","ROSSETTI ROAD","LONDON","LONDON","SOUTHWARK","GREATER LONDON","A","A"
"{93D33BDC-6108-490F-8B42-8AC708A722DF}","76000","1995-03-10 00:00","DA6 8BN","F","N","L","SHIRLEY HEIGHTS, 14","9","CROOK LOG","BEXLEYHEATH","BEXLEYHEATH","BEXLEY","GREATER LONDON","A","A"
"{0BD2E959-44E9-494D-BA40-8AC7204C6C5B}","156250","1995-07-27 00:00","UB8 2PS","D","N","F","50","","ELTHORNE ROAD","UXBRIDGE","UXBRIDGE","HILLINGDON","GREATER LONDON","A","A"
"{010E3584-8935-480D-9D88-8E6694925349}","73000","1995-11-30 00:00","HA3 9HR","S","N","F","115","","CHARLTON ROAD","HARROW","HARROW","HARROW","GREATER LONDON","A","A"
"{2F8FD944-FCEC-4869-8DD9-83B93D33910B}","50500","1995-07-28 00:00","IG2 7SF","F","N","L","1066","","EASTERN AVENUE","ILFORD","ILFORD","REDBRIDGE","GREATER LONDON","A","A"
"{A26C4FFC-2499-49FB-BC57-83B96F0EE8A0}","88500","1995-02-10 00:00","TW1 1JT","F","N","L","91","","KENLEY ROAD","TWICKENHAM","TWICKENHAM","RICHMOND UPON THAMES","GREATER LONDON","A","A"
"{FF0F11DE-B329-476F-B72F-8AC7363B4FFF}","85000","1995-04-13 00:00","SM5 4LS","T","N","F","148","","STANLEY ROAD","CARSHALTON","CARSHALTON","SUTTON","GREATER LONDON","A","A"
"{753E3B07-04EB-428A-8B92-873BEB7EBE4B}","63500","1995-04-03 00:00","W7 2PB","F","N","L","24A","","GREEN LANE","LONDON","LONDON","EALING","GREATER LONDON","A","A"
"{45F89719-4B6B-45B2-97AD-520751090EAE}","36000","1995-01-20 00:00","BA1 7DB","F","Y","L","106","FLAT 3","LONDON ROAD WEST","BATH","BATH","BATH","AVON","A","A"
"{1FC3F282-ED20-4087-B947-4E7795719BBA}","232800","1995-05-11 00:00","N5 1JP","D","N","F","15","","LIBERIA ROAD","LONDON","LONDON","ISLINGTON","GREATER LONDON","A","A"
"{4AD144B9-A650-4F95-931D-4E77ADACD27E}","150000","1995-09-01 00:00","W4 2LH","T","N","F","12","","CRANBROOK ROAD","LONDON","LONDON","HOUNSLOW","GREATER LONDON","A","A"
"{5B482447-A2C4-412C-A2BA-4738B68CD75B}","80000","1995-07-28 00:00","DA15 8JH","T","N","F","32","","MERRILEES ROAD","SIDCUP","SIDCUP","BEXLEY","GREATER LONDON","A","A"
"{ED3E7B74-A533-4A67-9B1E-4AC48024C2E9}","56500","1995-04-13 00:00","TW11 8EA","F","N","L","HANOVER COURT, 1A","FLAT 3","CLAREMONT ROAD","TEDDINGTON","TEDDINGTON","RICHMOND UPON THAMES","GREATER LONDON","A","A"
"{C3841BA0-9096-4A01-8590-4738EA8DC90A}","100500","1995-09-15 00:00","SW18 1PA","F","N","L","63","","CROMFORD ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON","A","A"
"{0A1735DF-C125-42B1-AB19-4738F8B3FA61}","71500","1995-07-21 00:00","CR8 2DU","T","N","F","35","","PURLEY VALE","PURLEY","PURLEY","CROYDON","GREATER LONDON","A","A"
